0,1,2,3,4,5,6,7,8,9,10,11,12,label
0,0,0,0,0,0,0,0,0,0,0,0,1,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,0,1,687,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,1,687,4,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,1,687,4,45,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,1,687,4,45,41,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,1,687,4,45,41,1886,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,1,687,4,45,41,1886,1887,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,0,0,1180,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,0,1180,1889,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,1180,1889,1890,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,0,0,57,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,0,57,407,[0. 0. 1. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,57,407,2,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,57,407,2,1181,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,57,407,2,1181,177,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,0,0,407,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,0,407,1182,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,0,0,408,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,0,408,162,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,408,162,377,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,408,162,377,21,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,408,162,377,21,247,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,0,0,18,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,0,0,451,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,0,451,224,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,451,224,248,[0. 1. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,451,224,248,1,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,0,0,408,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,0,0,451,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,0,0,408,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,0,408,6,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,408,6,43,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,408,6,43,62,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,408,6,43,62,1893,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,408,6,43,62,1893,96,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,408,6,43,62,1893,96,18,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,0,0,451,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,0,451,71,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,451,71,51,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,451,71,51,1894,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,451,71,51,1894,567,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,451,71,51,1894,567,378,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,451,71,51,1894,567,378,80,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,451,71,51,1894,567,378,80,3,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,451,71,51,1894,567,378,80,3,273,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,0,0,408,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,0,408,20,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,408,20,16,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,408,20,16,1895,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,408,20,16,1895,114,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,408,20,16,1895,114,379,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,408,20,16,1895,114,379,71,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,408,20,16,1895,114,379,71,883,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,0,0,2,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,0,2,5,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,2,5,92,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,2,5,92,688,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,2,5,92,688,58,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,0,0,346,[0. 0. 0. ... 0. 0. 0.]
0,0,0,0,0,0,0,0,0,0,0,346,29,[0. 0. 0. ... 0. 0. 0.]
